,date,number_case,state
0,2017-01-04,1,CA
1,2017-01-05,1,CA
2,2017-01-10,1,CA
3,2017-01-11,1,CA
4,2017-01-15,2,CA
5,2017-01-17,1,CA
6,2017-01-18,2,CA
7,2017-01-22,1,CA
8,2017-01-23,1,CA
9,2017-01-24,2,CA
10,2017-01-27,1,CA
11,2017-01-29,1,CA
12,2017-01-30,2,CA
13,2017-02-03,1,CA
14,2017-02-05,1,CA
15,2017-02-06,1,CA
16,2017-02-12,1,CA
17,2017-02-15,1,CA
18,2017-02-16,1,CA
19,2017-02-17,1,CA
20,2017-02-25,1,CA
21,2017-02-26,1,CA
22,2017-03-02,1,CA
23,2017-03-03,1,CA
24,2017-03-04,2,CA
25,2017-03-07,1,CA
26,2017-03-09,1,CA
27,2017-03-10,1,CA
28,2017-03-12,1,CA
29,2017-03-13,1,CA
30,2017-03-17,1,CA
31,2017-03-24,1,CA
32,2017-03-25,1,CA
33,2017-03-26,1,CA
34,2017-04-04,2,CA
35,2017-04-09,1,CA
36,2017-04-12,1,CA
37,2017-04-15,2,CA
38,2017-04-22,1,CA
39,2017-04-28,1,CA
40,2017-04-30,1,CA
41,2017-05-03,2,CA
42,2017-05-06,1,CA
43,2017-05-08,2,CA
44,2017-05-15,1,CA
45,2017-05-16,1,CA
46,2017-05-20,1,CA
47,2017-05-23,1,CA
48,2017-06-04,1,CA
49,2017-06-08,2,CA
50,2017-06-12,1,CA
51,2017-06-16,3,CA
52,2017-06-17,1,CA
53,2017-06-20,1,CA
54,2017-06-22,1,CA
55,2017-06-23,1,CA
56,2017-06-29,1,CA
57,2017-07-04,1,CA
58,2017-07-05,1,CA
59,2017-07-12,1,CA
60,2017-07-15,2,CA
61,2017-07-19,1,CA
62,2017-07-21,1,CA
63,2017-07-23,1,CA
64,2017-07-27,4,CA
65,2017-07-29,1,CA
66,2017-07-31,1,CA
67,2017-08-01,1,CA
68,2017-08-02,1,CA
69,2017-08-05,1,CA
70,2017-08-10,1,CA
71,2017-08-16,2,CA
72,2017-08-22,3,CA
73,2017-08-24,1,CA
74,2017-08-30,1,CA
75,2017-08-31,1,CA
76,2017-09-06,1,CA
77,2017-09-07,1,CA
78,2017-09-09,1,CA
79,2017-09-11,1,CA
80,2017-09-15,1,CA
81,2017-09-17,1,CA
82,2017-09-19,1,CA
83,2017-09-22,2,CA
84,2017-09-24,1,CA
85,2017-09-27,1,CA
86,2017-10-08,1,CA
87,2017-10-14,1,CA
88,2017-10-16,1,CA
89,2017-10-21,1,CA
90,2017-10-22,1,CA
91,2017-10-23,1,CA
92,2017-10-31,2,CA
93,2017-11-02,1,CA
94,2017-11-04,1,CA
95,2017-11-06,1,CA
96,2017-11-15,1,CA
97,2017-11-26,2,CA
98,2017-11-27,1,CA
99,2017-11-30,1,CA
100,2017-12-01,1,CA
101,2017-12-02,1,CA
102,2017-12-08,1,CA
103,2017-12-26,1,CA
104,2017-12-30,1,CA
105,2018-01-03,1,CA
106,2018-01-05,1,CA
107,2018-01-07,1,CA
108,2018-01-09,1,CA
109,2018-01-10,1,CA
110,2018-01-12,1,CA
111,2018-01-14,1,CA
112,2018-02-04,1,CA
113,2018-02-05,1,CA
114,2018-02-08,1,CA
115,2018-02-13,1,CA
116,2018-02-26,1,CA
117,2018-03-02,1,CA
118,2018-03-06,1,CA
119,2018-03-07,1,CA
120,2018-03-10,1,CA
121,2018-03-11,1,CA
122,2018-03-12,1,CA
123,2018-03-17,1,CA
124,2018-03-18,2,CA
125,2018-03-21,1,CA
126,2018-03-30,1,CA
127,2018-04-05,2,CA
128,2018-04-07,1,CA
129,2018-04-08,1,CA
130,2018-04-09,1,CA
131,2018-04-10,1,CA
132,2018-04-11,1,CA
133,2018-04-14,1,CA
134,2018-04-20,1,CA
135,2018-04-26,1,CA
136,2018-04-28,1,CA
137,2018-05-03,1,CA
138,2018-05-21,1,CA
139,2018-05-27,1,CA
140,2018-05-29,1,CA
141,2018-05-30,1,CA
142,2018-05-31,1,CA
143,2018-06-03,1,CA
144,2018-06-11,1,CA
145,2018-06-29,1,CA
146,2018-07-04,1,CA
147,2018-07-05,1,CA
148,2018-07-11,1,CA
149,2018-07-19,1,CA
150,2018-07-20,2,CA
151,2018-07-21,2,CA
152,2018-07-22,2,CA
153,2018-07-26,1,CA
154,2018-07-27,1,CA
155,2018-08-08,1,CA
156,2018-08-12,1,CA
157,2018-08-18,2,CA
158,2018-08-19,1,CA
159,2018-08-27,1,CA
160,2018-08-28,1,CA
161,2018-08-30,1,CA
162,2018-09-06,1,CA
163,2018-09-24,1,CA
164,2018-10-02,1,CA
165,2018-10-07,1,CA
166,2018-10-14,1,CA
167,2018-10-23,1,CA
168,2018-10-29,1,CA
169,2018-11-03,1,CA
170,2018-11-12,1,CA
171,2018-11-15,2,CA
172,2018-11-21,1,CA
173,2018-12-05,2,CA
174,2018-12-06,1,CA
175,2018-12-09,1,CA
176,2018-12-10,1,CA
177,2018-12-15,1,CA
178,2018-12-21,1,CA
179,2018-12-25,1,CA
180,2019-01-03,1,CA
181,2019-01-05,2,CA
182,2019-01-13,2,CA
183,2019-01-14,2,CA
184,2019-01-28,1,CA
185,2019-02-02,1,CA
186,2019-02-07,1,CA
187,2019-02-08,1,CA
188,2019-02-09,1,CA
189,2019-02-11,1,CA
190,2019-02-12,1,CA
191,2019-02-14,1,CA
192,2019-02-17,1,CA
193,2019-02-23,1,CA
194,2019-03-05,1,CA
195,2019-03-10,2,CA
196,2019-03-16,1,CA
197,2019-03-21,1,CA
198,2019-03-27,1,CA
199,2019-04-02,1,CA
200,2019-04-03,1,CA
201,2019-04-04,1,CA
202,2019-04-10,1,CA
203,2019-04-12,1,CA
204,2019-04-14,2,CA
205,2019-04-18,1,CA
206,2019-05-04,1,CA
207,2019-05-07,1,CA
208,2019-05-09,1,CA
209,2019-05-13,1,CA
210,2019-05-17,1,CA
211,2019-05-18,1,CA
212,2019-05-19,1,CA
213,2019-06-01,1,CA
214,2019-06-02,1,CA
215,2019-06-03,1,CA
216,2019-06-05,1,CA
217,2019-06-06,4,CA
218,2019-06-08,1,CA
219,2019-06-09,1,CA
220,2019-06-27,2,CA
221,2019-07-03,1,CA
222,2019-07-05,2,CA
223,2019-07-09,1,CA
224,2019-07-10,1,CA
225,2019-07-16,1,CA
226,2019-07-17,1,CA
227,2019-08-01,1,CA
228,2019-08-05,1,CA
229,2019-08-12,1,CA
230,2019-08-18,1,CA
231,2019-08-19,1,CA
232,2019-08-24,1,CA
233,2019-09-06,1,CA
234,2019-09-12,1,CA
235,2019-09-19,1,CA
236,2019-09-30,1,CA
237,2019-10-06,2,CA
238,2019-10-10,1,CA
239,2019-10-12,1,CA
240,2019-10-15,1,CA
241,2019-10-16,1,CA
242,2019-10-22,1,CA
243,2019-10-23,1,CA
244,2019-10-27,2,CA
245,2019-10-30,1,CA
246,2019-10-31,1,CA
247,2019-11-13,1,CA
248,2019-11-19,1,CA
249,2019-11-20,1,CA
250,2019-11-25,1,CA
251,2019-12-01,1,CA
252,2019-12-05,1,CA
253,2019-12-10,1,CA
254,2019-12-12,1,CA
255,2019-12-16,2,CA
256,2019-12-19,1,CA
257,2019-12-22,1,CA
258,2019-12-28,2,CA
259,2020-01-01,1,CA
260,2020-01-02,1,CA
261,2020-01-10,1,CA
262,2020-01-20,1,CA
263,2020-01-24,1,CA
264,2020-02-04,2,CA
265,2020-02-16,1,CA
266,2020-02-19,1,CA
267,2020-03-01,1,CA
268,2020-03-06,1,CA
269,2020-03-08,1,CA
270,2020-03-09,1,CA
271,2020-03-15,1,CA
272,2020-03-22,1,CA
273,2020-03-23,1,CA
274,2020-03-31,1,CA
275,2020-04-18,1,CA
276,2020-04-22,1,CA
277,2020-04-24,1,CA
278,2020-04-29,1,CA
279,2020-04-30,1,CA
280,2020-05-01,1,CA
281,2020-05-03,1,CA
282,2020-05-04,1,CA
283,2020-05-05,1,CA
284,2020-05-07,2,CA
285,2020-05-08,1,CA
286,2020-05-10,1,CA
287,2020-05-14,1,CA
288,2020-05-15,1,CA
289,2020-05-25,1,CA
290,2020-05-26,1,CA
291,2020-05-27,1,CA
292,2020-05-29,1,CA
293,2020-06-02,2,CA
294,2020-06-06,1,CA
295,2020-06-07,1,CA
296,2020-06-13,2,CA
297,2020-06-17,1,CA
298,2020-06-18,1,CA
299,2020-06-21,1,CA
300,2020-06-22,1,CA
301,2020-06-24,1,CA
302,2020-06-27,2,CA
303,2020-07-05,1,CA
304,2020-07-07,1,CA
305,2020-07-09,1,CA
306,2020-07-15,1,CA
307,2020-07-20,1,CA
308,2020-07-21,1,CA
309,2020-07-23,1,CA
310,2020-07-24,1,CA
311,2020-08-03,1,CA
312,2020-08-06,1,CA
313,2020-08-12,1,CA
314,2020-08-15,1,CA
315,2020-08-16,1,CA
316,2020-08-17,2,CA
317,2020-08-21,1,CA
318,2020-08-22,1,CA
319,2020-08-30,1,CA
320,2020-08-31,1,CA
321,2020-09-01,1,CA
322,2020-09-03,1,CA
323,2020-09-04,1,CA
324,2020-09-10,1,CA
325,2020-09-12,1,CA
326,2020-09-18,1,CA
327,2020-09-24,1,CA
328,2020-10-02,2,CA
329,2020-10-05,1,CA
330,2020-10-10,1,CA
331,2020-10-13,1,CA
332,2020-10-15,1,CA
333,2020-10-16,1,CA
334,2020-10-18,1,CA
335,2020-10-19,1,CA
336,2020-10-23,1,CA
337,2020-10-28,1,CA
338,2020-11-01,1,CA
339,2020-11-03,1,CA
340,2020-11-04,1,CA
341,2020-11-05,1,CA
342,2020-11-06,1,CA
343,2020-11-09,1,CA
344,2020-11-27,1,CA
345,2020-12-02,1,CA
346,2020-12-06,1,CA
347,2020-12-13,1,CA
348,2020-12-19,1,CA
349,2020-12-24,1,CA
350,2020-12-29,1,CA
351,2021-01-02,1,CA
352,2021-01-09,1,CA
353,2021-01-10,1,CA
354,2021-01-13,1,CA
355,2021-01-15,1,CA
356,2021-01-20,1,CA
357,2021-01-21,1,CA
358,2021-01-26,1,CA
359,2021-01-27,1,CA
360,2021-01-29,1,CA
361,2021-01-31,1,CA
362,2021-02-13,1,CA
363,2021-02-15,2,CA
364,2021-03-11,1,CA
365,2021-03-14,1,CA
366,2021-03-16,1,CA
367,2021-03-28,1,CA
368,2021-03-29,1,CA
369,2021-03-31,1,CA
370,2021-04-01,1,CA
371,2021-04-03,1,CA
372,2021-04-06,1,CA
373,2021-04-07,1,CA
374,2021-04-24,1,CA
375,2021-05-08,1,CA
376,2021-05-11,1,CA
377,2021-05-23,1,CA
378,2021-05-31,1,CA
379,2021-06-14,1,CA
380,2021-06-24,1,CA
381,2021-06-28,1,CA
382,2021-07-23,1,CA
383,2021-07-31,1,CA
384,2021-08-11,1,CA
385,2021-08-25,2,CA
386,2021-09-08,1,CA
387,2021-09-09,1,CA
388,2021-09-25,1,CA
389,2022-03-03,2,CA
390,2022-03-13,1,CA
391,2022-04-14,1,CA
392,2022-04-20,1,CA
393,2022-05-03,1,CA
394,2022-05-19,2,CA
